P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.0586369929726593,0.180785049435169,0.0990051219161787,7.90071422241875,0,0.01,0,0,0,25,279.604264497757
0.0312187744582232,0.585267521129499,0.26855915080707,2.91455327989907,0,0.01,0.5,0.270876823665244,1,25,990.174945831299
0.0292717952538409,0.178342460226279,0.0985369864345304,7.90756981784297,0,0.01,1,0.98586420752331,3,25,2247.1828494072
0.0292980296479771,0.179732089614706,0.0988093952758209,7.90322074618638,0,0.01,1.5,1.49059365069773,4,25,4197.91586709023
0.0293070394797415,0.180198765180205,0.098897094153281,7.90204628449044,0,0.01,2,1.99295148061634,2,25,3191.27153968811
0.0293111803229475,0.18041176102177,0.0989367772446672,7.90150826847084,0,0.01,2.5,2.49436312864384,3,25,4280.36923122406
0.0293134219481147,0.180526370739517,0.0989576128821944,7.901292814207,0,0.01,3,2.99530406682363,2,25,4051.87266325951
0.0293147706797602,0.180595267391596,0.0989705262093001,7.90112371528132,0,0.01,3.5,3.49597467202598,9,25,7685.95639204979
0.029315630945889,0.180577833209921,0.098934560556161,7.90337712248755,0,0.01,4,3.99648231671276,8,25,7325.15537953377
0.0293165749950314,0.18111089731229,0.0993110431547694,7.88382621688859,0,0.01,4.5,4.49684747323592,4,25,3974.83803296089
0.0293204890506385,0.177921507693019,0.0973547096613266,7.99865552488909,0,0.01,5,4.99728860455791,3,25,4026.13389778137
0.0297977140252855,0.110287009775305,0.0636167081306193,11.7777050802442,0,0.01,5.5,5.49909760394335,7,25,7331.27168774605
0.0301547798601889,0.118807041893182,0.0693986324597632,11.0652795077484,0,0.01,6,5.9989899414754,2,25,3110.01318883896
0.0306899862682543,0.121661654390926,0.0715777334861488,10.921082494133,0,0.01,6.5,6.49899770119788,4,25,5336.58834815025
0.0306562087328072,0.135592883874666,0.0809624704005847,9.91097130586402,0,0.01,7,6.99877504841332,5,25,6298.68314242363
0.0316292113156326,0.13028090029426,0.076723465379078,10.4570700894287,0,0.01,7.5,7.49896075270385,5,25,6220.67417263985
0.0314752953882644,0.143008984088599,0.0859564910050229,9.59292428171875,0,0.01,8,7.99875536940765,7,25,8239.18270945549
0.0328207588845477,0.135167917757355,0.0768997350478276,10.4086064046075,0,0.01,8.5,8.49902551309205,10,25,8056.07578158379
0.0332839461375382,0.138801915496765,0.077513012485132,10.28856860746,0,0.01,9,8.99904888191601,7,25,8031.64331459999
0.033439315882239,0.14576784370493,0.0818188502706888,9.87963709440279,0,0.01,9.5,9.49897419366486,3,25,4490.92133021355
0.0334043980980578,0.154517891470064,0.0882705349852131,9.36671725433764,0,0.01,10,9.99883951297854,5,25,5124.64388346672
0.0333115818854396,0.163421147811534,0.0949915894149386,8.89771266713438,0,0.01,10.5,10.4986947215659,8,25,12307.0374245644
0.0337253447053113,0.166278110086068,0.0947362331563463,8.85907180550797,0,0.01,11,10.9987409088648,10,25,11669.222288847
0.034536554182139,0.162236311061116,0.0854102524705649,9.28722467807616,0,0.01,11.5,11.4989222547856,6,25,7376.16092205048
0.0327345962086078,0.191098071911249,0.116866431190738,7.70231191217197,0,0.01,12,11.9982080734356,8,25,9040.73332667351
0.0305660756547726,0.225134008737233,0.148154162606517,6.49458215448975,0,0.01,12.5,12.4973216186026,8,25,9539.92268300057
0.033153661221076,0.199580029583704,0.120532599531442,7.50473346044135,0,0.01,13,12.9981554330975,7,25,6709.92479634285
0.0349141283661621,0.181107078518473,0.093062390331404,8.54583843454393,0,0.01,13.5,13.4981790015583,14,25,13887.7660713196
0.0344035879372985,0.196868394871265,0.109246918448732,7.60831477628472,0,0.01,14,13.9982935041581,15,25,12031.3775913715
0.0348530313407532,0.194968399647908,0.102473541089933,8.00894725569514,0,0.01,14.5,14.4982175177921,6,25,5272.80517244339
0.0338402218782833,0.215736491850818,0.126039305302483,7.1661681821093,0,0.01,15,14.9981427537182,7,25,7456.88272213936
0.0341570396575453,0.21731701796436,0.12397488185814,7.18192558742573,0,0.01,15.5,15.4982437675066,8,25,9432.58026742935
0.0337032877783757,0.227922986791413,0.134440865725989,6.84293146239759,0,0.01,16,15.9979642465126,6,25,7256.85162782669
0.0343504717738093,0.224630755083941,0.125610800733114,7.03584217117115,0,0.01,16.5,16.4981771805005,12,25,10813.4934899807
0.0337452232315845,0.237396616141751,0.139365947816181,6.63860613723286,0,0.01,17,16.9978975129137,12,25,9851.56231975555
0.0336536458183557,0.24321663836105,0.143464425053168,6.50351631796632,0,0.01,17.5,17.4978127499286,10,25,10914.0735514164
0.034477930372062,0.108140474405437,0.0475952898521792,13.0694387327262,0,0.01,18,17.9941474214512,7,25,8485.01835656166
0.0327337785017926,0.262619311099187,0.163287385735281,6.01781700116098,0,0.01,18.5,18.4972334588393,7,25,5646.01032495499
0.0347227721132175,0.12332397606071,0.0415139290086423,12.7836401495253,0,0.01,19,18.9996419962175,3,25,4595.3498942852
0.035945421320819,0.20351842983433,0.112742168316347,7.51939048344692,0,0.01,19.5,19.4926557295906,14,25,11015.0872080326
0.0338764929879467,0.260889547429653,0.14852786728823,6.20679773926294,0,0.01,20,19.9975146526292,12,25,14854.5855386257
0.0346470852484613,0.241041606087815,0.131034764152869,6.62913280084598,0,0.01,20.5,20.4928813260032,6,25,6284.97373342514
