Gamma_e,delta_a,delta_f,OmegaP,OmegaM,Mu,peak_index,peak_position
0.01,1.0,0.98586420752331,0.178342460226279,0.0985369864345304,0.0,0,-0.49293414197936153
0.01,1.0,0.98586420752331,0.178342460226279,0.0985369864345304,0.0,1,0.4929341419793614
0.01,1.5,1.49059365069773,0.179732089614706,0.0988093952758209,0.0,0,-0.7452965626778298
0.01,1.5,1.49059365069773,0.179732089614706,0.0988093952758209,0.0,1,0.7452965626778298
0.01,2.0,1.99295148061634,0.180198765180205,0.098897094153281,0.0,0,-0.9964765125075354
0.01,2.0,1.99295148061634,0.180198765180205,0.098897094153281,0.0,1,0.9964765125075351
0.01,2.5,2.49436312864384,0.18041176102177,0.0989367772446672,0.0,0,-1.2471815643219304
0.01,2.5,2.49436312864384,0.18041176102177,0.0989367772446672,0.0,1,1.2471815643219304
0.01,3.0,2.99530406682363,0.180526370739517,0.0989576128821944,0.0,0,-1.4976520334118266
0.01,3.0,2.99530406682363,0.180526370739517,0.0989576128821944,0.0,1,1.4976520334118264
0.01,3.5,3.49597467202598,0.180595267391596,0.0989705262093001,0.0,0,-1.747987336013032
0.01,3.5,3.49597467202598,0.180595267391596,0.0989705262093001,0.0,1,1.7479873360130322
0.01,4.0,3.99648231671276,0.180577833209921,0.098934560556161,0.0,0,-1.9982411583563822
0.01,4.0,3.99648231671276,0.180577833209921,0.098934560556161,0.0,1,1.9982411583563826
0.01,4.5,4.49684747323592,0.18111089731229,0.0993110431547694,0.0,0,-2.248423736618031
0.01,4.5,4.49684747323592,0.18111089731229,0.0993110431547694,0.0,1,2.2484237366180313
0.01,5.0,4.99728860455791,0.177921507693019,0.0973547096613266,0.0,0,-2.498644302278993
0.01,5.0,4.99728860455791,0.177921507693019,0.0973547096613266,0.0,1,2.498644302278993
0.01,5.5,5.49909760394335,0.110287009775305,0.0636167081306193,0.0,0,-2.749548801971856
0.01,5.5,5.49909760394335,0.110287009775305,0.0636167081306193,0.0,1,2.749548801971855
0.01,6.0,5.9989899414754,0.118807041893182,0.0693986324597632,0.0,0,-2.9994949707379046
0.01,6.0,5.9989899414754,0.118807041893182,0.0693986324597632,0.0,1,2.9994949707378944
0.01,6.5,6.49899770119788,0.121661654390926,0.0715777334861488,0.0,0,-3.2494988505991858
0.01,6.5,6.49899770119788,0.121661654390926,0.0715777334861488,0.0,1,3.2494988505991858
0.01,7.0,6.99877504841332,0.135592883874666,0.0809624704005847,0.0,0,-3.499387524206897
0.01,7.0,6.99877504841332,0.135592883874666,0.0809624704005847,0.0,1,3.499387524206897
0.01,7.5,7.49896075270385,0.13028090029426,0.076723465379078,0.0,0,-3.7494803763522393
0.01,7.5,7.49896075270385,0.13028090029426,0.076723465379078,0.0,1,3.7494803763522393
0.01,8.0,7.99875536940765,0.143008984088599,0.0859564910050229,0.0,0,-3.999377684704139
0.01,8.0,7.99875536940765,0.143008984088599,0.0859564910050229,0.0,1,3.999377684704139
0.01,8.5,8.49902551309205,0.135167917757355,0.0768997350478276,0.0,0,-4.249512756546473
0.01,8.5,8.49902551309205,0.135167917757355,0.0768997350478276,0.0,1,4.249512756546474
0.01,9.0,8.99904888191601,0.138801915496765,0.077513012485132,0.0,0,-4.499524440958511
0.01,9.0,8.99904888191601,0.138801915496765,0.077513012485132,0.0,1,4.49952444095851
0.01,9.5,9.49897419366486,0.14576784370493,0.0818188502706888,0.0,0,-4.749487096832962
0.01,9.5,9.49897419366486,0.14576784370493,0.0818188502706888,0.0,1,4.749487096832962
0.01,10.0,9.99883951297854,0.154517891470064,0.0882705349852131,0.0,0,-4.999419756489829
0.01,10.0,9.99883951297854,0.154517891470064,0.0882705349852131,0.0,1,4.999419756489823
0.01,10.5,10.4986947215659,0.163421147811534,0.0949915894149386,0.0,0,-5.2493473607835135
0.01,10.5,10.4986947215659,0.163421147811534,0.0949915894149386,0.0,1,5.2493473607835135
0.01,11.0,10.9987409088648,0.166278110086068,0.0947362331563463,0.0,0,-5.4993704544330315
0.01,11.0,10.9987409088648,0.166278110086068,0.0947362331563463,0.0,1,5.499370454433041
0.01,11.5,11.4989222547856,0.162236311061116,0.0854102524705649,0.0,0,-5.749461127393583
0.01,11.5,11.4989222547856,0.162236311061116,0.0854102524705649,0.0,1,5.749461127393583
0.01,12.0,11.9982080734356,0.191098071911249,0.116866431190738,0.0,0,-5.9991040367184105
0.01,12.0,11.9982080734356,0.191098071911249,0.116866431190738,0.0,1,5.9991040367184105
0.01,12.5,12.4973216186026,0.225134008737233,0.148154162606517,0.0,0,-6.248660809301762
0.01,12.5,12.4973216186026,0.225134008737233,0.148154162606517,0.0,1,6.248660809301763
0.01,13.0,12.9981554330975,0.199580029583704,0.120532599531442,0.0,0,-6.499077716549468
0.01,13.0,12.9981554330975,0.199580029583704,0.120532599531442,0.0,1,6.499077716549454
0.01,13.5,13.4981790015583,0.181107078518473,0.093062390331404,0.0,0,-6.749089500780191
