Gamma_e,delta_a,peak_index,peak_position
0.01,0.5,0,-0.2499754742357584
0.01,0.5,1,0.2391127498185979
0.01,1.0,0,-0.49997984499820003
0.01,1.0,1,0.49679678943481104
0.01,1.5,0,-0.7499864343306349
0.01,1.5,1,0.7481164045673724
0.01,2.0,0,-0.9999871584483623
0.01,2.0,1,0.9986550501959466
0.01,2.5,0,-1.2499920535878275
0.01,2.5,1,1.2489462506371503
0.01,3.0,0,-1.499990464305393
0.01,3.0,1,1.4991335136406028
0.01,3.5,0,-1.749993001322269
0.01,3.5,1,1.7492629474545145
0.01,4.0,0,-1.9999938470098257
0.01,4.0,1,1.9993582857120664
0.01,4.5,0,-2.2499945127655976
0.01,4.5,1,2.2494315407060794
0.01,5.0,0,-2.4999950498946775
0.01,5.0,1,2.499489643809074
0.01,5.5,0,-2.7499954920780114
0.01,5.5,1,2.7495368852582893
0.01,6.0,0,-2.999995862273226
0.01,6.0,1,2.9995760674959153
0.01,6.5,0,-3.2499961766368117
0.01,6.5,1,3.249609101005556
0.01,7.0,0,-3.49999644684471
0.01,7.0,1,3.4996373342293112
0.01,7.5,0,-3.7499966815478976
0.01,7.5,1,3.7496617467571056
0.01,8.0,0,-3.9999968872906275
0.01,8.0,1,3.9996830677392845
0.01,8.5,0,-4.2499970691052935
0.01,8.5,1,4.249701851325752
0.01,9.0,0,-4.49999723092609
0.01,9.0,1,4.499718603983791
0.01,9.5,0,-4.749997375872218
0.01,9.5,1,4.749733429911124
0.01,10.0,0,-4.999997506447998
0.01,10.0,1,4.999745989906843
0.01,10.5,0,-5.249997624686912
0.01,10.5,1,5.249758945673419
0.01,11.0,0,-5.4999977322570714
0.01,11.0,1,5.499769951720313
0.01,11.5,0,-5.749997830539598
0.01,11.5,1,5.749779994737607
0.01,12.0,0,-5.999997920687694
0.01,12.0,1,5.9997891960399645
0.01,12.5,0,-6.2499980036717275
0.01,12.5,1,6.24979765734752
0.01,13.0,0,-6.499998080314043
0.01,13.0,1,6.499805464614831
0.01,13.5,0,-6.749998151316109
0.01,13.5,1,6.7498126909561655
0.01,14.0,0,-6.999998217279924
0.01,14.0,1,6.999819398965717
0.01,14.5,0,-7.249998278725029
0.01,14.5,1,7.249825642549109
0.01,15.0,0,-7.499998336102146
0.01,15.0,1,7.499831468375851
0.01,15.5,0,-7.749998389804198
0.01,15.5,1,7.749836917060438
