Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.01,0.5,0.499865642568692,0.0146222378688465,1.45125709024675,0.0,0,-0.24993051768744154
0.01,0.5,0.499865642568692,0.0146222378688465,1.45125709024675,0.0,1,0.24993123242897528
0.01,1.0,0.99980464391681,0.0146236485085603,1.4635507997771,0.0,0,-0.49989914401448804
0.01,1.0,0.99980464391681,0.0146236485085603,1.4635507997771,0.0,1,0.49990438899716416
0.01,1.5,1.49981712947421,0.0146243366821883,1.47232045680942,0.0,0,-0.7499083210666798
0.01,1.5,1.49981712947421,0.0146243366821883,1.47232045680942,0.0,1,0.7499083210666797
0.01,2.0,1.99986005865961,0.014624372011914,1.47029085087577,0.0,0,-0.9999308157610237
0.01,2.0,1.99986005865961,0.014624372011914,1.47029085087577,0.0,1,0.9999308157610238
0.01,2.5,2.49989820539703,0.0146241589757835,1.46458657637734,0.0,0,-1.2499490849908204
0.01,2.5,2.49989820539703,0.0146241589757835,1.46458657637734,0.0,1,1.2499491027021004
0.01,3.0,2.99992176401369,0.0146239636309505,1.46207933436571,0.0,0,-1.4999608804101003
0.01,3.0,2.99992176401369,0.0146239636309505,1.46207933436571,0.0,1,1.49996088200475
0.01,3.5,3.49993954194016,0.0141408214390639,1.50499132662381,0.0,0,-1.7499697708312631
0.01,3.5,3.49993954194016,0.0141408214390639,1.50499132662381,0.0,1,1.7499697709734086
0.01,4.0,3.99994451391214,0.0146237453723198,1.46226831845041,0.0,0,-1.9999722569556235
0.01,4.0,3.99994451391214,0.0146237453723198,1.46226831845041,0.0,1,1.999972256953923
0.01,4.5,4.49995110949947,0.0146261957009072,1.47231778869005,0.0,0,-2.2499755547533784
0.01,4.5,4.49995110949947,0.0146261957009072,1.47231778869005,0.0,1,2.2499755547486116
0.01,5.0,4.99995665299594,0.0145183522759453,1.3932915926019,0.0,0,-2.499978326503149
0.01,5.0,4.99995665299594,0.0145183522759453,1.3932915926019,0.0,1,2.4999783264946736
0.01,5.5,5.49996038741712,0.0146236494759858,1.46252036150829,0.0,0,-2.749980193715355
0.01,5.5,5.49996038741712,0.0146236494759858,1.46252036150829,0.0,1,2.749980193708475
0.01,6.0,5.99996678330869,0.0141002600412653,1.37021241402084,0.0,0,-2.9999833916638288
0.01,6.0,5.99996678330869,0.0141002600412653,1.37021241402084,0.0,1,2.9999833916533
0.01,6.5,6.49996666801418,0.0146236387038495,1.46254179138154,0.0,0,-3.2499833340183057
0.01,6.5,6.49996666801418,0.0146236387038495,1.46254179138154,0.0,1,3.2499833340099413
0.01,7.0,6.99996910433513,0.0146236323112456,1.46254679201057,0.0,0,-3.499984552181569
0.01,7.0,6.99996910433513,0.0146236323112456,1.46254679201057,0.0,1,3.499984552168843
0.01,7.5,7.49997229168401,0.0143533027577656,1.50873767126081,0.0,0,-3.7499861458598853
0.01,7.5,7.49997229168401,0.0143533027577656,1.50873767126081,0.0,1,3.749986145842684
0.01,8.0,7.99997303664233,0.0146236061651064,1.46255233935797,0.0,0,-3.999986518342071
0.01,8.0,7.99997303664233,0.0146236061651064,1.46255233935797,0.0,1,3.999986518322804
0.01,8.5,8.49997464319671,0.0146236000485028,1.46255512226152,0.0,0,-4.2499873216234425
